# Raw Wintab pkTime read against GetTickCount64, one row per packet, taken on a Wacom DTH246
# on 13 Sep 2026 through Scribble.WinForms on the hi-res digitizer context.
#
# This is the measurement that settled pkTime's origin, which Wintab documents nowhere and
# which no stroke recording could answer -- StrokeRecorder writes times relative to the first
# point by design, so it carries no machine uptime at all.
#
# The answer: pkTime is counted on the GetTickCount64 epoch. Over 6217 packets spanning
# 41703ms, pkTime advanced 41703ms against 41703ms of wall clock, and the offset between the
# two stayed between -6ms and +34ms. The run contained a deliberate five-second pause with the
# pen away from the tablet: a counter that only advanced while packets arrived would have
# fallen five seconds behind across it, and this one did not.
#
# The negative end of that offset range is not noise. GetTickCount64 advances in steps of
# about 15.6ms while pkTime is finer, so a packet stamped just after a tick genuinely reads
# ahead of it. The median offset of 15ms is mostly that quantisation rather than delivery
# latency. The first version of the analysis subtracted in unsigned 32-bit arithmetic and
# reported that -1ms as 4294967295, declaring the clock unanchorable; the regression case for
# it is probe/tick-lags-pktime in --selftest-clock.
#
# What it changed: both Wintab sessions now anchor against the system clock instead of
# watching for a backward jump, so a wrap that happens while a session is stopped, or across a
# gap where the capture region discarded every packet, is recovered rather than missed.
#
pkTime,tickCount64
132282345,132282359
132282350,132282359
132282356,132282359
132282361,132282375
132282367,132282375
132282373,132282375
132282378,132282390
132282384,132282390
132282389,132282390
132282395,132282406
132282400,132282406
132282406,132282421
132282411,132282421
132282417,132282421
132282423,132282437
132282428,132282437
132282434,132282437
132282439,132282453
132282445,132282453
132282450,132282453
132282456,132282468
132282461,132282468
132282467,132282468
132282473,132282484
132282478,132282484
132282484,132282500
132282489,132282500
132282495,132282500
132282500,132282515
132282506,132282515
132282511,132282515
132282517,132282531
132282523,132282531
132282528,132282531
132282534,132282546
132282539,132282546
132282545,132282562
132282550,132282562
132282556,132282562
132282561,132282578
132282567,132282578
132282573,132282578
132282578,132282593
132282584,132282593
132282589,132282593
132282595,132282609
132282600,132282609
132282606,132282609
132282611,132282625
132282617,132282625
132282623,132282625
132282628,132282640
132282634,132282640
132282639,132282640
132282645,132282656
132282650,132282656
132282656,132282671
132282661,132282671
132282667,132282671
132282673,132282687
132282678,132282687
132282684,132282687
132282689,132282703
132282695,132282703
132282700,132282703
132282706,132282718
132282711,132282718
132282717,132282734
132282723,132282734
132282728,132282734
132282734,132282750
132282739,132282750
132282745,132282750
132282750,132282765
132282756,132282765
132282761,132282765
132282767,132282781
132282773,132282781
132282778,132282796
132282784,132282796
132282789,132282796
132282795,132282812
132282800,132282812
132282806,132282812
132282811,132282828
132282817,132282828
132282823,132282828
132282828,132282843
132282834,132282843
132282839,132282843
132282845,132282859
132282850,132282859
132282856,132282859
132282861,132282875
132282867,132282875
132282873,132282875
132282878,132282890
132282884,132282890
132282889,132282890
132282895,132282906
132282900,132282906
132282906,132282921
132282911,132282921
132282917,132282921
132282923,132282937
132282928,132282937
132282934,132282937
132282939,132282953
132282945,132282953
132282950,132282953
132282956,132282968
132282961,132282968
132282967,132282984
132282973,132282984
132282978,132282984
132282984,132283000
132282989,132283000
132282995,132283000
132283000,132283015
132283006,132283015
132283011,132283015
132283017,132283031
132283023,132283031
132283028,132283046
132283034,132283046
132283039,132283046
132283045,132283062
132283050,132283062
132283056,132283062
132283061,132283078
132283067,132283078
132283072,132283078
132283078,132283093
132283084,132283093
132283089,132283093
132283095,132283109
132283100,132283109
132283106,132283109
132283111,132283125
132283117,132283125
132283122,132283125
132283128,132283140
132283134,132283140
132283139,132283156
132283145,132283156
132283150,132283156
132283156,132283171
132283161,132283171
132283167,132283171
132283172,132283187
132283178,132283187
132283184,132283187
132283189,132283203
132283195,132283203
